|     | cinsiyetiniz   |   yaşınız | medenidurum   | mezuniyet   | yaşadığınyer   | bölge       | mesleğiseçmenedeni      | meslekideneyimsüresi   | bakışaçısı      | yurtdışındabulundunuzmu   | bakımverdinizmi   | bakımvermekistermisiniz   | yabancıdilbiliyormusunuz   | kültürkonusundaeğitimaldınızmı   | yurtdışındaçalışmakistermisiniz   | sempozyumkongrekatıldınızmı   | zeka1                  | zeka2                   | zeka3                  | zeka4                   | zeka5                   | zeka6                   | zeka7                  | zeka8                  | zeka9                  | zeka10                 | zeka11                  | zeka12                 | zeka13                 | zeka14                  | zeka15                 | zeka16                  | zeka17                  | zeka18                  | zeka19                 | zeka20                 | duyarlılık1             | duyarlılık2             | duyarlılık3            | duyarlılık4             | duyarlılık5            | duyarlılık6            | duyarlılık7             | duyarlılık8            | duyarlılık9             | duyarlılık10           | duyarlılık11           | duyarlılık12            | duyarlılık13           | duyarlılık14           | duyarlılık15            | duyarlılık16           | duyarlılık17           | duyarlılık18            | duyarlılık19            | duyarlılık20            | duyarlılık21           | duyarlılık22            | duyarlılık23           | duyarlılık24           |
|   9 | erkek          |        45 | evli          | önlisans    | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | hayır                             | hayır                         | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | kararsızım             | katılmıyorum           | kesinlikle katılmıyorum | katılmıyorum           | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım             | katılmıyorum            | karasızım              | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum           | kararsızım             | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum            | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılmıyorum           |
|  10 | erkek          |        26 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum            | kararsızım             | katılmıyorum           | katılmıyorum           | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum           | katılıyorum             | kararsızım              | katılıyorum             | katılmıyorum           | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım              | katılmıyorum           | katılıyorum            | kararsızım              | katılmıyorum           | katılıyorum            | katılıyorum             | katılıyorum            | katılmıyorum           | kararsızım              | katılıyorum             | kararsızım              | kararsızım             | katılıyorum             | katılmıyorum           | katılıyorum            |
|  11 | kadın          |        41 | evli          | lisans      | il             | karadeniz   | istediğim meslek olması | 11 yıl ve üzeri        | olumsuz değişti | evet                      | evet              | evet                      | evet                       | hayır                            | evet                              | evet                          | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum             | katılmıyorum            | katılmıyorum            | katılmıyorum           | kararsızım             | katılmıyorum           | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | katılıyorum             | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            |
|  12 | kadın          |        26 | bekar         | lisans      | il             | karadeniz   | kolay iş bulma          | 3-5 yıl                | değişmedi       | hayır                     | hayır             | evet                      | hayır                      | evet                             | hayır                             | hayır                         | kararsızım             | katılıyorum             | katılıyorum            | kararsızım              | kesinlikle katılmıyorum | kararsızım              | katılıyorum            | kararsızım             | katılıyorum            | kararsızım             | kesinlikle katılıyorum  | kararsızım             | kararsızım             | katılıyorum             | kararsızım             | katılıyorum             | katılıyorum             | katılmıyorum            | katılıyorum            | kararsızım             | katılıyorum             | kararsızım              | katılıyorum            | katılmıyorum            | karasızım              | katılıyorum            | katılıyorum             | kesinlikle katılıyorum | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | katılıyorum             | kararsızım             | kesinlikle katılmıyorum | katılıyorum            | kesinlikle katılıyorum |
|  13 | erkek          |        31 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumlu değişti  | hayır                     | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  14 | erkek          |        27 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | hayır             | hayır                     | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  15 | kadın          |        29 | evli          | lisans      | il             | karadeniz   | ailemin isteği          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | evet                             | evet                              | hayır                         | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kararsızım              | katılıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kararsızım             | kesinlikle katılmıyorum | katılmıyorum           | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | kararsızım              | kararsızım             | kararsızım              | karasızım              | kararsızım             | kesinlikle katılıyorum  | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | katılıyorum             | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum |
|  16 | kadın          |        25 | bekar         | önlisans    | il             | içanadolu   | kolay iş bulma          | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | katılıyorum            | katılmıyorum            | karasızım              | katılıyorum            | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılmıyorum           |
|  17 | kadın          |        26 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | katılıyorum            | kararsızım              | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  18 | kadın          |        25 | bekar         | lisans      | il             | içanadolu   | diğer                   | 0-2 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kararsızım             | katılmıyorum           | katılmıyorum           | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kesinlikle katılmıyorum | kararsızım             | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | kesinlikle katılmıyorum | katılmıyorum           | kararsızım              | karasızım              | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | kararsızım             | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılıyorum             | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum |
|  19 | erkek          |        23 | bekar         | önlisans    | il             | içanadolu   | diğer                   | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | hayır                             | hayır                         | kararsızım             | kararsızım              | kararsızım             | kararsızım              | katılmıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım             | kararsızım             | katılmıyorum            | katılmıyorum           | katılmıyorum           | kararsızım              | katılıyorum            | katılmıyorum            | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum           | kararsızım              | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | katılmıyorum            | katılıyorum             | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            |
|  20 | kadın          |        25 | bekar         | lisans      | il             | karadeniz   | ailemin isteği          | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılmıyorum           | katılıyorum             | katılıyorum            | kararsızım              | kararsızım              | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım             | kararsızım              | kararsızım             | kararsızım             | kararsızım              | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılmıyorum            | kararsızım             | katılıyorum             | katılmıyorum           | kararsızım             | kararsızım              | kesinlikle katılıyorum | katılıyorum             | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kararsızım              | kesinlikle katılıyorum | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum |
|  21 | kadın          |        32 | bekar         | lisansüstü  | il             | karadeniz   | ailemin isteği          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | evet                       | evet                             | evet                              | evet                          | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  22 | kadın          |        41 | evli          | lisansüstü  | il             | ege-marmara | diğer                   | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | evet                             | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum           | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kararsızım              | kararsızım             | kararsızım              | karasızım              | kararsızım             | kararsızım              | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             |
|  23 | kadın          |        33 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | hayır                            | hayır                             | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | katılmıyorum            | katılmıyorum           | kararsızım             | kararsızım             | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | kararsızım             | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılmıyorum | kararsızım             | katılıyorum             | katılmıyorum           | kararsızım             | kararsızım              | kesinlikle katılıyorum | katılıyorum             | katılmıyorum           | kararsızım             | katılıyorum             | katılmıyorum           | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum           | kesinlikle katılıyorum |
|  24 | kadın          |        25 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum           | kararsızım             | kararsızım              | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | kararsızım             | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kararsızım              | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            |
